country,year,sex,age,suicides_no,population
Greece,2011,female,75+ years,14.0,620354.0
Greece,2011,male,15-24 years,20.0,598754.0
Greece,2011,male,25-34 years,54.0,820631.0
Greece,2011,male,35-54 years,157.0,1695456.0
Greece,2011,male,5-14 years,0.0,542702.0
Greece,2011,male,55-74 years,110.0,1174903.0
Greece,2011,male,75+ years,52.0,467986.0
Greece,2012,female,15-24 years,7.0,576914.0
Greece,2012,female,25-34 years,15.0,746111.0
Greece,2012,female,35-54 years,28.0,1626532.0
Greece,2012,female,5-14 years,1.0,524175.0
Greece,2012,female,55-74 years,26.0,1272278.0
Greece,2012,female,75+ years,14.0,645352.0
Greece,2012,male,15-24 years,24.0,605261.0
Greece,2012,male,25-34 years,46.0,790487.0
Greece,2012,male,35-54 years,167.0,1590800.0
Greece,2012,male,5-14 years,0.0,548750.0
Greece,2012,male,55-74 years,117.0,1145850.0
Greece,2012,male,75+ years,63.0,467292.0
Greece,2013,female,15-24 years,4.0,564219.0
Greece,2013,female,25-34 years,19.0,716209.0
Greece,2013,female,35-54 years,37.0,1630105.0
Greece,2013,female,5-14 years,1.0,524573.0
Greece,2013,female,55-74 years,34.0,1270384.0
Greece,2013,female,75+ years,13.0,659686.0
Greece,2013,male,15-24 years,25.0,585990.0
Greece,2013,male,25-34 years,55.0,737922.0
Greece,2013,male,35-54 years,152.0,1572683.0
Greece,2013,male,5-14 years,0.0,549292.0
Greece,2013,male,55-74 years,141.0,1144571.0
Greece,2013,male,75+ years,52.0,475655.0
Greece,2014,female,15-24 years,7.0,552323.0
Greece,2014,female,25-34 years,12.0,689746.0
Greece,2014,female,35-54 years,42.0,1629438.0
Greece,2014,female,5-14 years,0.0,526123.0
Greece,2014,female,55-74 years,34.0,1280401.0
Greece,2014,female,75+ years,20.0,674567.0
Greece,2014,male,15-24 years,28.0,572505.0
Greece,2014,male,25-34 years,42.0,702789.0
Greece,2014,male,35-54 years,165.0,1564680.0
Greece,2014,male,5-14 years,1.0,551030.0
Greece,2014,male,55-74 years,143.0,1149730.0
Greece,2014,male,75+ years,71.0,487215.0
Greece,2015,female,15-24 years,3.0,541528.0
Greece,2015,female,25-34 years,17.0,662893.0
Greece,2015,female,35-54 years,36.0,1627797.0
Greece,2015,female,5-14 years,0.0,526126.0
Greece,2015,female,55-74 years,39.0,1294582.0
Greece,2015,female,75+ years,12.0,683939.0
Greece,2015,male,15-24 years,20.0,561302.0
Greece,2015,male,25-34 years,46.0,669357.0
Greece,2015,male,35-54 years,147.0,1558791.0
Greece,2015,male,5-14 years,0.0,551510.0
Greece,2015,male,55-74 years,139.0,1157869.0
Greece,2015,male,75+ years,70.0,495592.0
Grenada,1985,female,15-24 years,0.0,11725.0
Grenada,1985,female,25-34 years,0.0,7124.0
Grenada,1985,female,35-54 years,0.0,6880.0
Grenada,1985,female,5-14 years,0.0,11584.0
Grenada,1985,female,55-74 years,0.0,5254.0
Grenada,1985,female,75+ years,0.0,1510.0
Grenada,1985,male,15-24 years,0.0,11604.0
Grenada,1985,male,25-34 years,0.0,6933.0
Grenada,1985,male,35-54 years,0.0,5919.0
Grenada,1985,male,5-14 years,0.0,11950.0
Grenada,1985,male,55-74 years,1.0,3987.0
Grenada,1985,male,75+ years,0.0,905.0
Grenada,1988,female,15-24 years,1.0,11700.0
Grenada,1988,female,25-34 years,0.0,6700.0
Grenada,1988,female,35-54 years,0.0,6400.0
Grenada,1988,female,5-14 years,0.0,12300.0
Grenada,1988,female,55-74 years,0.0,5200.0
Grenada,1988,female,75+ years,0.0,2000.0
Grenada,1988,male,15-24 years,1.0,11900.0
Grenada,1988,male,25-34 years,2.0,6700.0
Grenada,1988,male,35-54 years,0.0,5900.0
Grenada,1988,male,5-14 years,0.0,12800.0
Grenada,1988,male,55-74 years,0.0,4500.0
Grenada,1988,male,75+ years,0.0,1200.0
Grenada,1989,female,15-24 years,0.0,9000.0
Grenada,1989,female,25-34 years,0.0,7050.0
Grenada,1989,female,35-54 years,0.0,7261.0
Grenada,1989,female,5-14 years,0.0,11045.0
Grenada,1989,female,55-74 years,0.0,5946.0
Grenada,1989,female,75+ years,0.0,1490.0
Grenada,1989,male,15-24 years,0.0,9251.0
Grenada,1989,male,25-34 years,2.0,7029.0
Grenada,1989,male,35-54 years,1.0,6973.0
Grenada,1989,male,5-14 years,0.0,11332.0
Grenada,1989,male,55-74 years,1.0,4485.0
Grenada,1989,male,75+ years,0.0,943.0
Grenada,1990,female,15-24 years,0.0,10500.0
Grenada,1990,female,25-34 years,0.0,4900.0
Grenada,1990,female,35-54 years,0.0,6600.0
Grenada,1990,female,5-14 years,0.0,11500.0
Grenada,1990,female,55-74 years,0.0,5000.0
Grenada,1990,female,75+ years,0.0,1700.0
Grenada,1990,male,15-24 years,1.0,11600.0
Grenada,1990,male,25-34 years,0.0,5500.0
Grenada,1990,male,35-54 years,1.0,6200.0
Grenada,1990,male,5-14 years,0.0,13200.0
Grenada,1990,male,55-74 years,0.0,4400.0
Grenada,1990,male,75+ years,0.0,900.0
Grenada,1991,female,15-24 years,0.0,8300.0
Grenada,1991,female,25-34 years,0.0,7100.0
Grenada,1991,female,35-54 years,0.0,7300.0
